date,equity
2018-12-20,100000.0
2018-12-21,100000.0
2018-12-24,100017.89558638934
2018-12-25,99894.2736187542
2018-12-26,99792.61909312116
2018-12-27,99901.08066686531
2018-12-28,99947.52747219725
2018-12-31,100569.8873865387
2019-01-01,100698.12474446588
2019-01-02,100863.78405937593
2019-01-03,100682.42159012814
2019-01-04,101120.63206300717
2019-01-07,100678.94568108703
2019-01-08,99679.49830945887
2019-01-09,99512.09444368197
2019-01-10,99122.48921661366
2019-01-11,99048.79053888074
2019-01-14,99033.96206887528
2019-01-15,99933.04148703018
2019-01-16,99473.43803443346
2019-01-17,99590.03336594762
2019-01-18,96639.8861761079
2019-01-21,94651.00890471699
2019-01-22,94422.0813178955
2019-01-23,94841.82243178281
2019-01-24,95476.82302097109
2019-01-25,94733.03287838714
2019-01-28,94733.03287838714
2019-01-29,94733.03287838714
2019-01-30,94733.03287838714
2019-01-31,94733.03287838714
2019-02-01,94733.03287838714
2019-02-04,94733.03287838714
2019-02-05,94733.03287838714
2019-02-06,94733.03287838714
2019-02-07,94733.03287838714
2019-02-08,94733.03287838714
2019-02-11,94733.03287838714
2019-02-12,94733.03287838714
2019-02-13,94720.7242230696
2019-02-14,94498.57252486792
2019-02-15,94842.78419497206
2019-02-18,94877.24914563444
2019-02-19,94847.87161978932
2019-02-20,94800.28597392833
2019-02-21,94881.26074970711
2019-02-22,95402.81125878629
2019-02-25,95377.73547463962
2019-02-26,95250.20394699852
2019-02-27,95349.86210603584
2019-02-28,95287.23334063568
2019-03-01,95308.69500138923
2019-03-04,95312.07983831514
2019-03-05,95383.51160638842
2019-03-06,95406.83651010001
2019-03-07,95309.13186711558
2019-03-08,95267.8471811067
2019-03-11,95149.12996621951
2019-03-12,95111.1982510697
2019-03-13,95097.70234876983
2019-03-14,95045.7832564206
2019-03-15,95045.7832564206
2019-03-18,95045.7832564206
2019-03-19,95045.7832564206
2019-03-20,95045.7832564206
2019-03-21,95045.7832564206
2019-03-22,95045.7832564206
2019-03-25,95045.7832564206
2019-03-26,95045.7832564206
2019-03-27,95045.7832564206
2019-03-28,95045.7832564206
2019-03-29,95045.7832564206
2019-04-01,95045.7832564206
2019-04-02,95141.3542909488
2019-04-03,94741.49363264375
2019-04-04,94728.34416885488
2019-04-05,94452.52589896924
2019-04-08,94338.13213708224
2019-04-09,94679.78477155665
2019-04-10,94835.04951302665
2019-04-11,94667.69263681874
2019-04-12,94432.07151906536
2019-04-15,94442.26057720116
2019-04-16,94172.07021229692
2019-04-17,94102.02616513937
2019-04-18,94135.69418759343
2019-04-19,94259.5972394081
2019-04-22,94328.87105680889
2019-04-23,94073.06216167125
2019-04-24,94105.50034379523
2019-04-25,94114.25146397138
2019-04-26,94158.77924468766
2019-04-29,94334.02161775353
2019-04-30,94102.9079999639
2019-05-01,94043.21682477155
2019-05-02,94104.2937322071
2019-05-03,93943.60978009779
2019-05-06,93943.60978009779
2019-05-07,93991.62777612486
2019-05-08,94211.23325925625
2019-05-09,93993.75220031946
2019-05-10,94415.52992142581
2019-05-13,95128.69424227778
